"txid","refid","time","type","subtype","aclass","asset","amount","fee","balance"
"LVEG7G-ZNLYM-UCPL6B","FTGi83L-4RGB1URbxgE7As4p25jRQr","2021-01-20 14:03:55","deposit","","currency","EUR.HOLD",20.0000,1.0000,19.0000
"LKDOF6-V5VNT-UDG3Y2","TSHJ3CF-RHR5Y-TMRQ6R","2021-01-20 14:03:56","spend","","currency","EUR.HOLD",-19.0000,0,0.0000
"LOTUD4-APBCA-TTBLSX","TSHJ3CF-RHR5Y-TMRQ6R","2021-01-20 14:03:56","receive","","currency","ETH",0.0172100000,0,0.0172100000
"LIVF22-5NNS2-ZUE46I","FTiReQA-6eARrYJBMsnYfBxB7HMske","2021-01-25 00:40:30","transfer","spottostaking","currency","ETH",-0.0172100000,0,0.0000000000
"LQSDN4-JXZDA-SKTHNG","FTFPDlM-vcvQG5nNM8pGCwAGlyrs1f","2021-01-31 15:58:32","deposit","","currency","EUR.HOLD",50.0000,2.1300,47.8700
"LMPJKI-U775B-7HUMKL","FTTLidH-OX8H3seV2m8aMZK9bed66j","2021-01-31 16:01:16","deposit","","currency","EUR.HOLD",50.0000,2.1300,95.7400
"LCVNRX-YSR6C-TADGK4","TSX7GNX-DOBCZ-SIO4DY","2021-01-31 16:01:19","spend","","currency","EUR.HOLD",-47.8700,0,47.8700
"LN3PJI-GRUST-QNREBI","TSX7GNX-DOBCZ-SIO4DY","2021-01-31 16:01:19","receive","","currency","DOGE",1998.22000000,0,1998.22000000
"L4K45J-DVE2S-YFA5CX","FTIfT9V-zIYymE5LYNQWyAUHEzMV9o","2021-01-31 16:01:35","deposit","","currency","EUR.HOLD",-50.0000,-2.1300,0.0000
"LCUMQE-AVYRL-7PABNV","FTgoHkw-uB17J7IcNUsFOSidJCPXit","2021-01-31 16:46:42","deposit","","currency","EUR.HOLD",100.0000,4.0000,96.0000
"LATL4B-CPUSI-44E7LY","TSOXZKP-M3QST-ITRSFX","2021-01-31 16:46:43","spend","","currency","EUR.HOLD",-96.0000,0,0.0000
"LTMSXQ-OCT5F-4JWI2K","TSOXZKP-M3QST-ITRSFX","2021-01-31 16:46:43","receive","","currency","XRP",249.32458000,0,249.32458000
"LMNJZL-ZKKDU-L77KF2","FTWXyuq-XXMP0Q3VPQnWzVIP8wYXQ5","2021-02-02 16:50:25","deposit","","currency","EUR.HOLD",100.0000,4.0000,96.0000
"LNVA2X-RSE5P-AVLNB5","TS3W7SV-K3UAV-GQLEN2","2021-02-02 16:50:25","spend","","currency","EUR.HOLD",-96.0000,0,0.0000
"LGWPC2-O4ZWX-BJUYRL","TS3W7SV-K3UAV-GQLEN2","2021-02-02 16:50:25","receive","","currency","XTZ",39.49773600,0,39.49773600
"LZOHRX-6T3C4-RDVCAK","FTVfYsD-jUl4W0PNJMuyEbPMOjcFDh","2021-02-02 16:55:15","deposit","","currency","EUR.HOLD",100.0000,4.0000,96.0000
"L3JP3B-LYOHQ-KHKQMP","TSD7LQV-RBZDM-NB465H","2021-02-02 16:55:17","spend","","currency","EUR.HOLD",-96.0000,0,0.0000
"L46RWD-7XPQW-B4VPSD","TSD7LQV-RBZDM-NB465H","2021-02-02 16:55:17","receive","","currency","XRP",301.29103000,0,550.61561000
"LBBMDQ-URGSP-JEPBZH","FTisziF-3vnH4PmkrHRmhxSN0M3WaY","2021-02-03 22:32:21","transfer","spottostaking","currency","XTZ",-19.49773600,0,20.00000000
"LEDH3E-LD63B-5XTQG3","FTK3JwE-N6MUeHTLqIaHXLyrag6NPm","2021-02-03 22:32:37","transfer","stakingfromspot","currency","XTZ.S",19.49773600,0,19.49773600
"LLHROW-HETUO-ECVEQM","STJ6RHB-S75SD-OEAWYY","2021-02-04 06:53:58","staking","","currency","XTZ.S",0.00030100,0,19.49803700
"L5Q4Q7-3WOA3-DQG7WD","TBED5T-ZNC7K-52OCIR","2021-02-04 12:44:58","trade","tradespot","currency","DOGE",-1995.02795527,0,3.19204473
"LUXU76-LIX2N-PFUDMJ","TBED5T-ZNC7K-52OCIR","2021-02-04 12:44:58","trade","tradespot","currency","EUR",80.4918,0.1288,80.3630
"LCCVNE-LCRFD-WB4EEU","TP6FAC-U2LDV-D4RKSH","2021-02-04 12:44:58","trade","tradespot","currency","DOGE",-3.18694562,0,0.00509911
"LXTWEK-V6DNA-ZQZW3E","TP6FAC-U2LDV-D4RKSH","2021-02-04 12:44:58","trade","tradespot","currency","EUR",0.1286,0.0002,80.4914
"L3OQW5-BJ7DQ-XEMZS5","TYP5ZF-PDU4E-MIVFUU","2021-02-04 12:44:58","trade","tradespot","currency","DOGE",-0.00509096,0,0.00000815
"LUHTEG-H7ETT-4YGZWM","TYP5ZF-PDU4E-MIVFUU","2021-02-04 12:44:58","trade","tradespot","currency","EUR",0.0002,0,80.4916
"L4O56D-LSGGQ-LCHV4N","TY37NW-7X4JW-FGZDH2","2021-02-04 12:44:58","trade","tradespot","currency","DOGE",-0.00000814,0,0.00000001
"L4T7JR-5RHWM-RVX27A","FTggU2B-QgJBv3OHhnndyZ1KKKDGc1","2021-02-06 18:25:41","withdrawal","","currency","XRP",-499.98000000,0.02000000,50.61561000
"LHISYC-6LR3Y-OBFBKI","FTbEVz5-nFEgsQwrdNqmnVTuKSp82u","2021-02-06 19:12:01","withdrawal","","currency","XTZ",-19.80000000,0.20000000,0.00000000
"LKG2RO-NRM6J-RR737K","TSLJ3IT-WJU3M-RRBBSM","2021-02-07 18:29:44","spend","","currency","EUR",-80.0000,0,0.4916
"LOK2IO-R7ZJ2-GZ3Q3P","TSLJ3IT-WJU3M-RRBBSM","2021-02-07 18:29:44","receive","","currency","LTC",0.6348500000,0,0.6348500000
"LGG45M-VU5YP-NH4AXT","ST532KM-OTSPN-65UED7","2021-02-08 02:12:25","staking","","currency","XTZ.S",0.01174400,0,19.50978100
